"","X.6","X.5","X.4","X.3","X.2","X.1","X","tag","table","OBJECTID","quadrat","StemTag","lx","ly","dbh_previous","hom","codes_previous","status_previous","status_2022","comment_2022","mortality","census_status","dbh_current","status_current","codes_current","code_choices","notes_current","DBH.check","living_status","crown_position","crown_intact","crown_living","fad","fad_choices","liana_load","lean_angle","wounded_main_stem","rotting_trunk","canker_swelling_deformity","dead_with_resprout","crown_check","GlobalID","CreationDate","Creator","EditDate","Editor","species","dbh_previous_mm","numeric_tag","hom_alert","lean_direction","comment_mortality","sp","tree_type","NAD83_X","NAD83_Y","personnel_list","personnel","date_measured","multi.stemmed","x","y","gx","gy","dbh_if_dead","mort_status","ExactDate"
"354",354,354,354,354,354,354,354,102347,"old_trees",1858,1025,1,14.7,10.4,632,1.3,"NULL","A","A","",1,1,645,"A","","","","","A",3,100,90,"","",0,NA,NA,NA,NA,NA,NA,"0d16a196-bf62-43b0-b3a1-b7aee5767b95","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:41:42 PM","shuej21","qual",632,NA,NA,NA,"","qual","1",747568.789316193,4309001.32277273,"CP","KB,CP","7/14/2023 5:41:00 PM",0,-78.145431761836,38.8950224670437,194.699967699028,490.382310372805,NA,"A",2023-07-14
"355",355,355,355,355,355,355,355,102348,"old_trees",1859,1025,1,16.5,11.4,874,1.3,"NULL","A","A","",1,1,900,"A","","","","","A",3,90,90,"","",0,NA,NA,NA,NA,NA,NA,"73654814-0257-4c3b-8307-b15bb8ddcfd9","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:45:07 PM","shuej21","qual",874,NA,NA,NA,"","qual","1",747570.565725653,4309002.36432221,"CP","KB,CP","7/14/2023 5:45:04 PM",0,-78.1454109272155,38.8950313407367,196.500062267404,491.381281707579,NA,"A",2023-07-14
"356",356,356,356,356,356,356,356,102350,"old_trees",1862,1025,1,19.6,17.5,507,1.3,"NULL","A","AU","",1,1,511,"DS","","","","","",3,85,0,"","",0,NA,NA,NA,NA,0,NA,"68884bd9-8a54-481c-aa47-5a3acfbd008a","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:48:51 PM","shuej21","qual",507,NA,NA,NA,"","qual","1",747573.523285939,4309008.53463171,"CP","KB,CP","7/14/2023 5:48:25 PM",0,-78.1453746397774,38.8950860420131,199.599973367892,497.479445592171,511,"",2023-07-14
"357",357,357,357,357,357,357,357,102351,"old_trees",1863,1025,1,18,17.3,255,1.3,"NULL","A","A","",1,1,252,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"c0fabd21-e752-41c6-87a0-9c94eee056fc","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:46:56 PM","shuej21","nysy",255,NA,NA,NA,"","nysy","1",747571.928388896,4309008.2974845,"CP","KB,CP","7/14/2023 5:46:23 PM",0,-78.1453930938627,38.8950843570481,198.000003926912,497.28032816573,NA,"A",2023-07-14
"358",358,358,358,358,358,358,358,102354,"old_trees",1866,1025,1,16.6,18.3,132,1.3,"NULL","A","A","",1,1,131,"A","","","","","A",1,95,92,"","",0,NA,NA,NA,NA,NA,NA,"1583b14e-5324-4810-a488-aace8f99dd83","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:47:57 PM","shuej21","nysy",132,NA,NA,NA,"","nysy","1",747570.505601347,4309009.26465951,"CP","KB,CP","7/14/2023 5:47:25 PM",0,-78.1454091314799,38.8950934628545,196.600037082999,498.281095117045,NA,"A",2023-07-14
"359",359,359,359,359,359,359,359,102357,"old_trees",1869,1025,1,15.1,16.2,142,1.3,"NULL","A","A","",1,1,145,"A","","","","","A",1,98,98,"","",0,NA,NA,NA,NA,NA,NA,"cae08143-5421-4e97-b43a-98e57885bbdc","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:46:01 PM","shuej21","nysy",142,NA,NA,NA,"","nysy","1",747569.054727334,4309007.13046129,"CP","KB,CP","7/14/2023 5:45:32 PM",0,-78.1454266108945,38.8950746632523,195.100041670327,496.182036040977,NA,"A",2023-07-14
"360",360,360,360,360,360,360,360,102359,"old_trees",1871,1025,1,5.3,15.3,235,1.3,"NULL","A","A","",1,1,238,"A","","","","","A",1,98,95,"","",0,NA,NA,NA,NA,NA,NA,"562ed781-fd8f-4997-b42f-2da2a6d3d914","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:39:01 PM","shuej21","cagl",235,NA,NA,NA,"","cagl","1",747559.278199906,4309006.00336108,"CP","KB,CP","7/14/2023 5:38:33 PM",0,-78.1455396144311,38.8950672738766,185.299997568169,495.287961342016,NA,"A",2023-07-14
"361",361,361,361,361,361,361,361,102360,"old_trees",1873,1025,1,9.1,10.9,153,1.3,"NULL","A","A","",1,1,153,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"6151c6d9-3c2c-49e9-8b25-f1a8f121fa3c","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:39:51 PM","shuej21","litu",153,NA,NA,NA,"","litu","1",747563.179314244,4309001.69268847,"CP","KB,CP","7/14/2023 5:39:20 PM",0,-78.1454962392936,38.8950273772222,189.100057407874,490.88565360003,NA,"A",2023-07-14
"362",362,362,362,362,362,362,362,102361,"old_trees",1874,1025,1,8.9,19.7,251,1.3,"NULL","A","A","",1,1,255,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"3d0403a0-0e25-45e2-9e20-69c0a85ec5d7","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:51:21 PM","shuej21","nysy",251,NA,NA,NA,"","nysy","1",747562.775090757,4309010.48567726,"CP","KB,CP","7/14/2023 5:51:04 PM",0,-78.1454977242033,38.8951066307571,188.899933827564,499.685772708494,NA,"A",2023-07-14
"363",363,363,363,363,363,363,363,102364,"old_trees",1877,1025,1,2.1,17.9,649,1.3,"NULL","A","AU","",1,1,658,"AU","","","","","AU",3,80,50,"DF","DF",0,NA,NA,NA,NA,NA,NA,"5c01fd76-26d5-4f88-b5da-7d8e7d30caa1","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:38:11 PM","shuej21","qual",649,NA,NA,NA,"","qual","1",747556.01883595,4309008.52850048,"CP","KB,CP","7/14/2023 5:38:03 PM",0,-78.1455762423257,38.8950909193321,182.100092282096,497.889966451223,NA,"AU",2023-07-14
"364",364,364,364,364,364,364,364,102365,"old_trees",1878,1025,1,1.1,13.3,239,1.3,"NULL","A","A","",1,1,250,"AU","","","","","AU",1,100,95,"CR","CR",0,NA,NA,NA,NA,NA,NA,"817843e2-2112-4e62-9d12-62c58f89b346","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:36:53 PM","shuej21","litu",239,NA,NA,NA,"","litu","1",747555.125691608,4309003.90646562,"CP","KB,CP","7/14/2023 5:36:00 PM",0,-78.1455881953078,38.8950495712448,181.099960385348,493.290500213253,NA,"AU",2023-07-14
"365",365,365,365,365,365,365,365,102366,"old_trees",1879,1025,1,2.9,13.2,293,1.3,"NULL","A","A","",1,1,305,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"55866230-173d-43ae-92b5-e08d769cab30","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:35:45 PM","shuej21","litu",293,NA,NA,NA,"","litu","1",747556.927639258,4309003.84829963,"CP","KB,CP","7/14/2023 5:35:20 PM",0,-78.1455674630958,38.8950485399885,182.900073649486,493.189459775023,NA,"A",2023-07-14
"366",366,366,366,366,366,366,366,102367,"old_trees",1880,1026,1,9.4,3.2,107,1.3,"NULL","A","A","",1,1,109,"A","","","","","A",1,100,95,"","",0,NA,NA,NA,NA,NA,NA,"c7948891-7657-4da2-916a-4b8d5b6e02eb","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:50:40 PM","shuej21","litu",107,NA,NA,NA,"","litu","1",747563.193771968,4309013.99638439,"CP","KB,CP","7/14/2023 5:50:13 PM",0,-78.1454916363205,38.8951381102341,189.399948274327,503.185519500117,NA,"A",2023-07-14
"367",367,367,367,367,367,367,367,102369,"old_trees",1882,1026,1,5.2,4.8,284,1.3,"NULL","A","A","",1,1,312,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"99c3600d-5e3d-4416-9633-7cd94228f110","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:52:03 PM","shuej21","litu",284,NA,NA,NA,"","litu","1",747558.957763899,4309015.49848753,"CP","KB,CP","7/14/2023 5:52:00 PM",0,-78.1455398812253,38.8951528232599,185.19992801282,504.788024815653,NA,"A",2023-07-14
"368",368,368,368,368,368,368,368,102371,"old_trees",1885,1026,1,1.6,6.5,791,1.3,"NULL","A","A","",1,1,808,"AU","","","","","AU",3,100,100,"K","K",0,NA,NA,NA,2,NA,NA,"86a132f0-0ea6-465f-847a-07c76f06aea0","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:53:12 PM","shuej21","qual",791,NA,NA,NA,"","qual","1",747555.319398962,4309017.11461788,"CP","KB,CP","7/14/2023 5:53:02 PM",0,-78.1455812019179,38.8951683941457,181.600035384572,506.490299603801,NA,"AU",2023-07-14
"369",369,369,369,369,369,369,369,102373,"old_trees",1887,1026,1,16.1,2.9,187,1.3,"NULL","A","A","",1,1,188,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"7739b188-8933-4947-a327-a0023342c400","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:14:57 PM","shuej21","nysy",187,NA,NA,NA,"","nysy","1",747569.898979388,4309013.85193358,"EM","KB,EM","7/13/2023 7:14:27 PM",0,-78.1454144638751,38.8951349206843,196.099999899867,502.881508652508,NA,"A",2023-07-13
"370",370,370,370,370,370,370,370,102374,"old_trees",1888,1026,1,17.7,2.1,285,1.3,"NULL","A","A","",1,1,299,"A","","","","","A",3,100,98,"","",0,NA,NA,NA,NA,NA,NA,"676752cf-952a-45f7-b0d3-86658980616a","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:49:42 PM","shuej21","cagl",285,NA,NA,NA,"","cagl","1",747571.51706921,4309013.08919415,"CP","KB,CP","7/14/2023 5:49:15 PM",0,-78.1453961032152,38.895127599827,197.699959214456,502.080470674465,NA,"A",2023-07-14
"371",371,371,371,371,371,371,371,102376,"old_trees",1890,1026,1,16,5.8,205,1.3,"M","A","AU","",1,1,199,"DS","","","","","",2,2,0,"I","I",0,NA,NA,NA,NA,NA,NA,"50c08850-efff-4569-b1a2-128a6994eaa0","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:13:26 PM","shuej21","cato",205,NA,NA,NA,"","cato","1",747569.731687077,4309016.74878936,"EM","KB,EM","7/13/2023 7:13:00 PM",1,-78.1454153460188,38.8951610404259,195.999957616985,505.781525680057,199,"",2023-07-13
"372",372,372,372,372,372,372,372,102377,"old_trees",1891,1026,1,17.7,9.4,201,1.3,"NULL","A","A","",1,1,203,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"7e4ae080-a579-46a9-9cb5-92092dc45ce9","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:14:04 PM","shuej21","cagl",201,NA,NA,NA,"","cagl","1",747571.347770477,4309020.38732748,"EM","KB,EM","7/13/2023 7:14:00 PM",0,-78.1453954213899,38.8951933329953,197.700017572483,509.380566039816,NA,"A",2023-07-13
"373",373,373,373,373,373,373,373,102378,"old_trees",1892,1026,1,11.4,8.1,147,1.3,"NULL","A","A","",1,1,145,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"7df45593-2170-444d-9fd4-7680db5dbf5a","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:12:14 PM","shuej21","cato",147,NA,NA,NA,"","cato","1",747565.079619347,4309018.94149862,"EM","KB,EM","7/13/2023 7:12:02 PM",0,-78.1454681337022,38.8951820863928,191.40001124536,508.084344724528,NA,"A",2023-07-13
"374",374,374,374,374,374,374,374,102379,"old_trees",1893,1026,1,13,12,217,1.3,"NULL","A","A","",1,1,223,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"6df27d36-8440-4768-bae9-2a167392b8be","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:09:16 PM","shuej21","prav",217,NA,NA,NA,"","prav","1",747566.588738175,4309022.87746717,"EM","KB,EM","7/13/2023 7:09:02 PM",0,-78.1454493337635,38.8952170860793,193.00003559278,511.98327726951,NA,"A",2023-07-13
"375",375,375,375,375,375,375,375,102384,"old_trees",1899,1026,1,12.8,16.7,114,1.3,"NULL","A","A","",1,1,114,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"d81355b7-3fe9-41f6-a22c-7d5675efa75d","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:08:22 PM","shuej21","nysy",114,NA,NA,NA,"","nysy","1",747566.279689744,4309027.57161751,"EM","KB,EM","7/13/2023 7:08:02 PM",0,-78.1454512004594,38.8952594219745,192.799971303088,516.683453801119,NA,"A",2023-07-13
"376",376,376,376,376,376,376,376,102386,"old_trees",1901,1026,1,11.8,17.6,181,1.3,"NULL","A","A","",1,1,180,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"e791cadf-eaaf-40da-a00e-de53c821b3f0","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:07:49 PM","shuej21","nysy",181,NA,NA,NA,"","nysy","1",747565.292735958,4309028.41998981,"EM","KB,EM","7/13/2023 7:07:33 PM",0,-78.1454622614116,38.8952673357005,191.832964782552,517.555077743505,NA,"A",2023-07-13
"377",377,377,377,377,377,377,377,102388,"old_trees",1903,1026,1,3.6,11.2,257,1.3,"NULL","A","A","",1,1,256,"AU","","","","","AU",1,100,95,"R1","R1",0,NA,NA,NA,NA,NA,NA,"7e93d5bb-9494-456b-8fe2-65692b39bf2f","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:54:32 PM","shuej21","nysy",257,NA,NA,NA,"","nysy","1",747557.209797069,4309021.85968596,"CP","KB,CP","7/14/2023 5:54:00 PM",0,-78.1455577190627,38.8952105685641,183.600006929948,511.189027037433,NA,"AU",2023-07-14
"378",378,378,378,378,378,378,378,102389,"old_trees",1904,1026,1,9,10,271,1.3,"NULL","A","A","",1,1,278,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"5177bbe5-db5d-40d5-a2a2-277ae62adfa5","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:11:46 PM","shuej21","caovl",271,NA,NA,NA,"","caovl","1",747562.63623697,4309020.78527935,"EM","KB,EM","7/13/2023 7:11:21 PM",0,-78.1454956095639,38.8951993695017,189.000060887173,509.985761781479,NA,"A",2023-07-13
"379",379,379,379,379,379,379,379,102390,"old_trees",1906,1026,1,4.1,13.1,188,1.4,"NULL","A","A","",1,1,200,"A","A","A","","","A",1,100,90,"","",0,NA,NA,NA,NA,NA,NA,"66dd2da2-e380-494a-963f-c80b6d702255","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:55:19 PM","shuej21","litu",188,NA,1.4,NA,"","litu","1",747557.665612111,4309023.77077493,"CP","KB,CP","7/14/2023 5:55:00 PM",0,-78.1455517803011,38.8952276405202,184.100035204582,513.088725003477,NA,"A",2023-07-14
"380",380,380,380,380,380,380,380,102391,"old_trees",1907,1026,1,4.9,14.1,132,1.2,"A","A","A","",1,1,132,"AU","A","A","","","AU",1,100,98,"CR","CR",0,17,NA,NA,NA,NA,NA,"dbcaa9b0-b228-4d16-bba2-9d809f6d8307","3/30/2023 4:12:53 PM","shuej21","7/14/2023 5:56:40 PM","shuej21","nysy",132,NA,NA,326,"","nysy","1",747558.442104985,4309024.78909304,"CP","KB,CP","7/14/2023 5:56:01 PM",0,-78.1455424701638,38.8952365869,184.899943352879,514.088272094406,NA,"AU",2023-07-14
"381",381,381,381,381,381,381,381,102399,"old_trees",1915,1027,1,1.6,0.4,188,1.3,"NULL","A","A","",1,1,195,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"d52b3499-78f5-4ec5-834a-8ecd0edba08f","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:05:48 PM","shuej21","nysy",188,NA,NA,NA,"","nysy","1",747554.99689924,4309031.01076631,"EM","KB,EM","7/13/2023 7:05:03 PM",0,-78.1455799056415,38.8952935546779,181.600003263613,520.390187285276,NA,"A",2023-07-13
"382",382,382,382,382,382,382,382,102400,"old_trees",1917,1027,1,2,0.7,175,1.3,"NULL","A","A","",1,1,180,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"2dc5d953-51e6-4f7e-b677-8c0a2d302824","3/30/2023 4:12:53 PM","shuej21","10/26/2023 5:32:52 PM","shuej21","nysy",175,NA,NA,NA,"","nysy","1",747555.390989914,4309031.35068535,"EM","KB,EM","10/26/2023 5:32:29 PM",0,-78.1455752442847,38.8952965030094,182.001873753211,520.720629662271,NA,"A",2023-10-26
"383",383,383,383,383,383,383,383,102401,"old_trees",1918,1027,1,5.7,5.1,125,1.3,"NULL","A","DS","",1,1,0,"DC","","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"926dd271-2cec-4a50-9be8-63c0dc59e345","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:06:56 PM","shuej21","nysy",125,NA,NA,NA,"","nysy","1",747558.986799754,4309035.80470044,"KB","KB","7/13/2023 7:06:50 PM",0,-78.1455322248749,38.8953355773048,185.70004581417,525.087793427356,0,"",2023-07-13
"384",384,384,384,384,384,384,384,102402,"old_trees",1919,1027,1,6.2,6.4,511,1.3,"NULL","A","A","",1,1,527,"A","","","","","A",3,100,95,"","",0,NA,NA,NA,NA,NA,NA,"59dad659-c600-4047-905b-dc1a9e93e32e","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:06:40 PM","shuej21","cagl",511,NA,NA,NA,"","cagl","1",747559.456480614,4309037.11590152,"EM","KB,EM","7/13/2023 7:06:06 PM",0,-78.1455263427075,38.8953472461742,186.200019201015,526.387443419691,NA,"A",2023-07-13
"385",385,385,385,385,385,385,385,102404,"old_trees",1921,1027,1,0.3,3.7,306,1.3,"NULL","A","A","",1,1,339,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"cd6a90b1-7fcb-4212-8a58-159177800fec","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:03:38 PM","shuej21","litu",306,NA,NA,NA,"","litu","1",747553.62069172,4309034.27969055,"EM","KB,EM","7/13/2023 7:03:21 PM",0,-78.1455945769202,38.895323363795,180.300002863469,523.690942600837,NA,"A",2023-07-13
"386",386,386,386,386,386,386,386,102405,"old_trees",1922,1027,1,13.5,3,655,1.3,"NULL","A","A","",1,1,678,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"493ee018-ec13-43e0-9ec2-9f555962db5c","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:01:24 PM","shuej21","qual",655,NA,NA,NA,"","qual","1",747566.833423233,4309033.88617181,"EM","KB,EM","7/13/2023 7:01:06 PM",0,-78.1454425460891,38.8953160988844,193.500048948748,522.98303880053,NA,"A",2023-07-13
"387",387,387,387,387,387,387,387,102408,"old_trees",1925,1027,1,16.9,7.1,151,1.3,"NULL","A","A","",1,1,154,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"69a6d326-e524-4371-87fa-acc1bca982a4","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:00:27 PM","shuej21","nysy",151,NA,NA,NA,"","nysy","1",747570.138487282,4309038.07738221,"EM","KB,EM","7/13/2023 7:00:07 PM",0,-78.1454029699209,38.8953528897346,196.901456587199,527.094392826574,NA,"A",2023-07-13
"388",388,388,388,388,388,388,388,102409,"old_trees",1926,1027,1,16.1,7.2,111,1.3,"NULL","A","A","",1,1,109,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"87a22ad2-7245-450d-ae61-3ad6c5990bc5","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:00:01 PM","shuej21","nysy",111,NA,NA,NA,"","nysy","1",747569.352466061,4309038.12330681,"EM","KB,EM","7/13/2023 6:59:39 PM",0,-78.1454120060715,38.8953535245662,196.116712333636,527.159013714617,NA,"A",2023-07-13
"389",389,389,389,389,389,389,389,102410,"old_trees",1928,1027,1,11.7,4.1,387,1.3,"L","A","A","",1,1,392,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"365ebd71-ce80-48ce-b22f-46536d36f75f","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:00:59 PM","shuej21","qual",387,NA,NA,NA,"","qual","1",747565.008293796,4309034.94406306,"EM","KB,EM","7/13/2023 7:00:41 PM",0,-78.1454631848757,38.8953261345354,191.699953054655,524.084073041268,NA,"A",2023-07-13
"390",390,390,390,390,390,390,390,102411,"old_trees",1929,1027,1,16.2,11.2,114,1.3,"NULL","A","A","",1,1,110,"DS","","","","","",1,30,0,"DF,U","U",0,NA,NA,NA,NA,NA,NA,"a6ac1041-19a5-44da-bc13-a0825a4cc1a1","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:59:28 PM","shuej21","cagl",114,NA,NA,NA,"","cagl","1",747569.342403797,4309042.14663461,"EM","KB,EM","7/13/2023 6:59:19 PM",0,-78.145410671173,38.8953897385974,196.199991134349,531.181441123485,110,"",2023-07-13
"391",391,391,391,391,391,391,391,102412,"old_trees",1930,1027,1,16.2,13,598,1.3,"NULL","A","A","",1,1,599,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"a191975f-0e69-452f-bea0-a8f7c625d9db","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:57:30 PM","shuej21","litu",598,NA,NA,NA,"","litu","1",747569.300726485,4309043.94613005,"EM","KB,EM","7/13/2023 6:57:04 PM",0,-78.1454105022888,38.8954059463578,196.200072059301,532.981418757102,NA,"A",2023-07-13
"392",392,392,392,392,392,392,392,102415,"old_trees",1933,1027,1,17,18.8,178,1.3,"NULL","A","A","",1,1,180,"AU","","","","","AU",1,95,95,"CR","CR",0,NA,NA,NA,NA,NA,NA,"d344dd0f-5c6d-46fb-abb0-a74ee8edb8c4","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:56:18 PM","shuej21","cato",178,NA,NA,NA,"","cato","1",747569.920202917,4309049.74265675,"EM","KB,EM","7/13/2023 6:56:06 PM",0,-78.1454012774887,38.8954579423268,196.953857080435,538.761558072705,NA,"AU",2023-07-13
"393",393,393,393,393,393,393,393,102416,"old_trees",1934,1027,1,15.1,15.4,221,1.3,"NULL","A","A","",1,1,223,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"1628f5cf-c013-47a4-bbfc-e4c9926f257d","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:56:57 PM","shuej21","cato",221,NA,NA,NA,"","cato","1",747568.145270906,4309046.32000516,"EM","KB,EM","7/13/2023 6:56:33 PM",0,-78.1454229538317,38.8954276375684,195.099999680399,535.382124077719,NA,"A",2023-07-13
"394",394,394,394,394,394,394,394,102417,"old_trees",1935,1027,1,11.2,19.1,234,1.3,"NULL","A","A","",1,1,245,"A","","","","","A",2,100,100,"","",NA,NA,NA,NA,NA,NA,NA,"1994ce9f-93eb-412f-b24f-beba859addb9","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:53:34 PM","shuej21","cato",234,NA,NA,NA,"","cato","1",747564.160469405,4309049.92851255,"EM","KB,EM","7/13/2023 6:53:15 PM",0,-78.1454675461865,38.8954612381328,191.199985464381,539.084457501848,NA,"A",2023-07-13
"395",395,395,395,395,395,395,395,102418,"old_trees",1936,1027,1,12.2,16.1,612,1.3,"NULL","A","A","",1,1,644,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"e8cfdcc8-ddc9-48c9-9a7f-2ff6c486b041","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:55:14 PM","shuej21","litu",612,NA,NA,NA,"","litu","1",747565.22979087,4309046.95247764,"EM","KB,EM","7/13/2023 6:55:00 PM",0,-78.1454563037759,38.8954341515733,192.199977230516,536.083813197985,NA,"A",2023-07-13
"396",396,396,396,396,396,396,396,102420,"old_trees",1939,1027,1,5,14.3,311,1.3,"NULL","A","A","",1,1,310,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"fd2b0a2f-59fc-43b1-b1d4-eb973e9a1fb3","3/30/2023 4:12:53 PM","shuej21","7/13/2023 7:02:52 PM","shuej21","cagl",311,NA,NA,NA,"","cagl","1",747558.07349668,4309044.98596469,"EM","KB,EM","7/13/2023 7:02:28 PM",0,-78.1455394329492,38.8954184688862,184.999987375592,534.288195369213,NA,"A",2023-07-13
"397",397,397,397,397,397,397,397,102422,"old_trees",1941,1028,1,5.6,1,203,1.3,"NULL","A","A","",1,1,206,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"2af702ad-fd2d-4dd1-9b55-ff97bd34b236","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:52:30 PM","shuej21","litu",203,NA,NA,NA,"","litu","1",747558.517916238,4309051.69799271,"EM","KB,EM","7/13/2023 6:52:00 PM",0,-78.1455318942859,38.8954787539928,185.60000162047,540.987743426108,NA,"A",2023-07-13
"398",398,398,398,398,398,398,398,102423,"old_trees",1942,1028,1,6.6,1.6,684,1.3,"NULL","A","DS","",1,1,689,"DS","","","","","",3,50,0,"","",0,NA,NA,NA,NA,NA,NA,"146f9b1d-59f6-4ff5-beac-48cffe51f741","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:51:49 PM","shuej21","quru",684,NA,NA,NA,"","quru","1",747559.503724273,4309052.32109547,"EM","KB,EM","7/13/2023 6:51:31 PM",0,-78.1455203159035,38.895484084327,186.599999877372,541.587204906205,689,"",2023-07-13
"399",399,399,399,399,399,399,399,102424,"old_trees",1943,1028,1,7.8,0.6,165,1.3,"NULL","A","A","",1,1,165,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"c6c143e3-a241-4c20-99dd-94df20853f63","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:52:51 PM","shuej21","cato",165,NA,NA,NA,"","cato","1",747560.72658545,4309051.34921895,"EM","KB,EM","7/13/2023 6:52:36 PM",0,-78.1455065824642,38.8954749925539,187.799985087386,540.586496545199,NA,"A",2023-07-13
"400",400,400,400,400,400,400,400,102425,"old_trees",1944,1028,1,0.5,8,158,1.3,"NULL","A","A","",1,1,163,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"aca0a467-e6fa-4a5e-9278-3396599330eb","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:51:18 PM","shuej21","cato",158,NA,NA,NA,"","cato","1",747553.256915757,4309058.57776985,"EM","KB,EM","7/13/2023 6:51:05 PM",0,-78.1455900053813,38.8955421565668,180.500023042083,547.990796550158,NA,"A",2023-07-13
"401",401,401,401,401,401,401,401,102428,"old_trees",1947,1028,1,13.5,8.8,642,1.3,"NULL","A","A","",1,1,669,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"3323ca17-e46e-41fc-a6f5-4d6967975376","3/30/2023 4:12:53 PM","shuej21","7/13/2023 6:49:55 PM","shuej21","litu",642,NA,NA,NA,"","litu","1",747566.211688304,4309059.69825764,"EM","KB,EM","7/13/2023 6:49:38 PM",0,-78.1454403991015,38.895548590851,193.477303467086,548.802610400664,NA,"A",2023-07-13
