"OBJECTID","quadrat","tag","StemTag","sp","lx","ly","hom","dbh_2023","status_2023","codes_2023","notes_2023","living_status_2023","fad_2023","wound_2023","rot_2023","canker_2023","comment_mortality_2023","x","y","status_2024","living_status_2024","crown_position_2024","crown_intact","crown_living","fad_choices","fad_2024","liana_load","wound_2024","rot_2024","canker_2024","lean_angle","lean_direction","dead_with_resprout","crown_check","dbh_dead_2024","dead_dbh_check","comment_mortality_2024","mort_census_status","personnel_list","GlobalID","EditDate","Editor","date_measured","dbh_verified"
402,1031,102489,1,"litu",16.2,2.3,1.3,425,"LI","","","A","",NA,NA,NA,"",-78.14540405,38.89602905,"LI","AU",3,100,90,"W","W",NA,1,NA,NA,NA,NA,NA,NA,NA,"","Seems unusually sparse","finished","RH","5cfcab84-2e03-4571-be63-3f81fde538fd","8/7/2024 4:33:12 PM","shuej21","8/7/2024 4:30:01 PM",""
403,1031,102490,1,"litu",19.8,9.2,1.3,709,"LI","","","A","",NA,NA,NA,"",-78.14536192,38.89609092,"LI","A",3,98,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","7caf292d-ea36-4fab-b835-3e113687e050","8/7/2024 4:42:01 PM","shuej21","8/7/2024 4:41:00 PM",""
404,1031,102491,1,"litu",13,5.1,1.3,280,"LI","","","A","",NA,NA,NA,"",-78.14544066,38.8960545,"LI","A",2,95,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","f052e067-9fd7-4fe7-b050-79ef4a2d4416","8/7/2024 4:34:33 PM","shuej21","8/7/2024 4:34:11 PM",""
405,1031,102492,1,"litu",12.2,6,1.3,693,"LI","","","A","",NA,NA,NA,"",-78.14544979,38.89606266,"LI","A",4,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","02c4ce33-93db-4d9b-b606-92facd11039f","8/7/2024 4:37:38 PM","shuej21","8/7/2024 4:37:30 PM",""
406,1031,102501,1,"litu",9.8,17.3,1.3,657,"LI","","","A","",NA,NA,NA,"",-78.14547639,38.89616459,"LI","A",4,95,85,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","f31bf82a-37e4-46a8-a8b0-69d433ed63fe","8/7/2024 4:46:17 PM","shuej21","8/7/2024 4:46:11 PM",""
407,1031,102502,1,"ulru",0.1,18.6,1.3,140,"LI","","","A","",NA,NA,NA,"",-78.14558804,38.896177,"LI","A",1,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","5c07300f-2e38-4b7a-8246-e2a24e94b605","8/7/2024 5:04:40 PM","shuej21","8/7/2024 5:04:05 PM",""
408,1032,102509,1,"quve",9.6,0.9,1.3,924,"LI","","","A","",NA,NA,NA,"",-78.14556584,38.89628642,"LI","A",4,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","5c81849e-5f70-4e0b-89dd-63ab80dc284f","8/7/2024 5:03:03 PM","shuej21","8/7/2024 5:03:00 PM",""
409,105,10251,1,"fram",10.9,18.9,1.3,109,"LI","","","AU","B,LF",NA,NA,NA,"",-78.14758599,38.89150971,"LI","AU",3,30,30,"B","B",4,NA,NA,NA,34,278,NA,NA,NA,"","ES","finished","Other","85d6b68b-6522-4c3d-8c5d-f599fe41576c","7/8/2024 4:16:59 PM","shuej21","7/8/2024 4:16:13 PM",""
410,1032,102512,1,"litu",19.1,0.6,1.3,826,"LI","","","A","",NA,NA,NA,"",-78.14536892,38.89619362,"LI","A",4,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","010b805a-8adf-4ac0-a291-3578098d68f6","8/7/2024 4:51:06 PM","shuej21","8/7/2024 4:51:03 PM",""
411,1032,102513,1,"litu",19.9,5,1.3,627,"LI","","","A","",NA,NA,NA,"",-78.14535929,38.89623318,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","67d12e4b-c670-4372-b390-f656a1a63915","8/7/2024 4:51:35 PM","shuej21","8/7/2024 4:51:15 PM",""
412,1032,102514,1,"litu",16,10.7,1.3,428,"LI","","","A","",NA,NA,NA,"",-78.1454037,38.89628479,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","1a4b3c1d-ff12-4c71-a1b2-727e6f5b78e5","8/7/2024 4:53:24 PM","shuej21","8/7/2024 4:53:21 PM",""
413,1032,102515,1,"litu",11.4,19.3,1.3,665,"LI","","","A","",NA,NA,NA,"",-78.1454559,38.89636257,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","c3d0bceb-9046-4c06-a2ce-810b0714a0ca","8/7/2024 4:56:03 PM","shuej21","8/7/2024 4:56:00 PM",""
414,1032,102516,1,"litu",4.8,11.1,1.3,116,"LI","","","A","",NA,NA,NA,"",-78.14553272,38.89628921,"LI","A",1,100,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","62d64737-3bfb-468c-9179-2b7c021eb390","8/7/2024 5:01:07 PM","shuej21","8/7/2024 5:01:04 PM",""
415,1032,102517,1,"litu",4.1,15.6,1.3,215,"LI","","","A","",NA,NA,NA,"",-78.14554036,38.89632978,"LI","A",1,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","15e75708-8e09-4aff-a632-790b4c1ac3e3","8/7/2024 5:11:02 PM","shuej21","8/7/2024 4:58:09 PM",""
416,105,10263,1,"acne",1.1,15.9,1.3,168,"LI","","","AU","W",1,NA,NA,"",-78.14769919,38.89148341,"LI","A",2,75,60,"","",4,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","RH","6cc160b4-3cd1-4c2c-915a-4b6825cf7d12","9/11/2024 8:30:05 PM","shuej21","7/8/2024 4:22:19 PM",""
417,106,10280,1,"nysy",19.7,12.3,1.3,264,"LI","","","A","",NA,NA,NA,"",-78.14748336,38.89162973,"LI","A",2,90,90,"","",2,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","004e8e2b-2c34-4d9c-9f25-bcdfa55a9509","7/8/2024 3:55:51 PM","shuej21","7/8/2024 3:55:12 PM",""
418,106,10284,1,"ceca",15.7,3.2,1.3,183,"LI","I,L","","AU","W,R",3,3,NA,"",-78.14753029,38.89154808,"LI","AU",3,95,90,"W","W",1,2,NA,NA,17,133,NA,NA,NA,"","ES","finished","Other","098fb4dd-e03e-406b-9da1-42fea481bcb4","7/8/2024 4:06:55 PM","shuej21","7/8/2024 4:03:19 PM",""
419,106,10287,1,"caca",13.9,12.9,1.3,209,"LI","L","","A","",NA,NA,NA,"",-78.14755013,38.89163555,"LI","A",2,85,75,"","",3,NA,NA,NA,43,143,NA,NA,NA,"","ES","finished","Other","816a2bc4-4022-4cdf-bd72-8abe28d71869","7/8/2024 3:44:31 PM","shuej21","7/8/2024 3:44:14 PM",""
420,106,10296,1,"juni",9.7,9.2,1.3,594,"LI","L","","AU","W,R",2,2,NA,"",-78.14759886,38.89160254,"LI","AU",4,100,100,"R","W,R",4,1,1,NA,19,200,NA,NA,NA,"","","finished","RH","4f39d0c0-a77b-4b72-a7dd-5eddaa0c438e","7/8/2024 4:37:49 PM","shuej21","7/8/2024 4:37:14 PM",""
421,106,10342,1,"caco",1,2.2,1.3,116,"LI","DV,RT","Seems like a lot of growth but it has to be this tree","","",NA,NA,NA,"",-78.14769975,38.89154014,"LI","A",3,100,100,"","",4,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","cd607416-7124-4e61-b47f-01e6f654bce6","7/8/2024 4:41:33 PM","shuej21","7/8/2024 4:41:11 PM",""
422,106,10346,1,"acne",0.6,2.6,1.5,132,"LI","RT","","AU","DF",NA,NA,NA,"",-78.14770433,38.89154378,"LI","AU",1,90,50,"DF","DF",3,NA,NA,NA,NA,NA,NA,NA,NA,"","Unable to take a good picture","finished","RH","dacd0fa2-3582-4047-932d-9f0e23e6e1c8","7/8/2024 4:41:06 PM","shuej21","7/8/2024 4:40:19 PM",""
423,106,10401,1,"caca",8.8,8.1,1.3,163,"LI","","","AU","K",NA,NA,2,"",-78.14760934,38.8915927,"LI","AU",3,90,70,"LF","LF",3,NA,NA,NA,NA,NA,NA,NA,NA,"","Difficult to get a good picture of leaf damage. Leaves have large, irregular brown spots","finished","RH","ec799c6b-c80e-4510-ad60-5d07ce1876be","7/8/2024 4:34:44 PM","shuej21","7/8/2024 4:34:09 PM",""
424,106,10405,1,"caca",6.1,14.5,1.3,136,"LI","","","AU","K",NA,NA,1,"",-78.14763985,38.89165053,"LI","AU",3,80,80,"R","W,R",4,1,1,NA,25,142,NA,NA,NA,"","","finished","RH","8e648167-b91a-40a2-aa9f-c6f1a1348464","7/8/2024 4:29:17 PM","shuej21","7/8/2024 4:28:11 PM",""
425,106,10424,1,"caco",0.6,17,1.3,495,"LI","","","AU","W",1,NA,NA,"",-78.14770299,38.89167344,"LI","AU",4,100,100,"W","W",1,1,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","42a9bad8-c50f-4dff-a913-a368faff5c9e","7/8/2024 4:18:53 PM","shuej21","7/8/2024 4:18:00 PM",""
426,106,10427,1,"juni",1.5,12.8,1.3,343,"LI","","","A","",NA,NA,NA,"",-78.14769301,38.89163556,"LI","A",3,85,80,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","e49e8de1-3c2d-4c6c-b8ef-03390e55d5ed","7/8/2024 4:24:21 PM","shuej21","7/8/2024 4:24:06 PM",""
427,107,10433,1,"caca",14,2.7,1.3,111,"LI","","","AU","W",2,NA,NA,"",-78.14754806,38.89172379,"LI","AU",1,70,50,"W","W",2,2,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","a79bf89e-7a1a-4fd2-8b2d-cb0f84357ba4","7/8/2024 3:38:57 PM","shuej21","7/8/2024 3:38:04 PM",""
428,107,10434,1,"caco",20,1.7,1.3,198,"LI","","","A","",NA,NA,NA,"",-78.14747903,38.89171435,"LI","AU",3,90,80,"AN","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Bark peeled off broken branch with holes in it; ES","finished","Other","076a5e17-a248-41d5-abdd-3efd660cef71","7/8/2024 3:52:01 PM","shuej21","7/8/2024 3:51:08 PM",""
429,107,10436,1,"fagr",10.3,8.2,1.3,612,"LI","","","A","",NA,NA,NA,"",-78.14759018,38.89177358,"LI","A",3,95,95,"","",4,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","758150e7-ef18-4c71-b9d9-4532c2617954","7/8/2024 3:34:32 PM","shuej21","7/8/2024 3:34:20 PM",""
430,107,10444,1,"quru",14.8,15.9,1.3,115,"LI","","","A","",NA,NA,NA,"",-78.14753762,38.89184259,"LI","A",2,90,75,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","8032c759-9fd9-4d1c-8fcb-73f04e12cc33","7/8/2024 3:28:47 PM","shuej21","7/8/2024 3:28:02 PM",""
431,107,10445,1,"acru",17.5,19.9,1.3,269,"LI","DV","Stem 2 fused with stem 1","A","",NA,NA,NA,"",-78.14750614,38.89187841,"LI","A",3,90,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","40969431-939f-45bc-9d2e-8cf1c28fcc98","7/8/2024 3:25:09 PM","shuej21","7/8/2024 3:25:01 PM",""
432,107,10446,1,"nysy",13.7,19.1,1.3,667,"LI","","","AU","K,HS",NA,NA,2,"",-78.14755,38.89187149,"LI","AU",4,95,95,"K","K",NA,NA,NA,1,NA,NA,NA,NA,NA,"","ES","finished","Other","7a5f6030-6efc-4ab0-9980-167cd4194e5c","7/8/2024 3:26:58 PM","shuej21","7/8/2024 3:26:08 PM",""
433,107,10451,1,"caca",4.3,19.2,1.3,103,"LI","L","","","",NA,NA,NA,"",-78.14765829,38.89187307,"LI","A",1,100,95,"","",NA,NA,NA,NA,31,170,NA,NA,NA,"","Trunk is leaning, but not crown","finished","RH","0aae3190-c76d-4446-9a17-dcbeee78bc9e","7/8/2024 3:53:28 PM","shuej21","7/8/2024 3:45:03 PM",""
434,107,10452,1,"cagl",11.2,13.4,1.3,472,"LI","","","A","",NA,NA,NA,"",-78.14757933,38.89182034,"LI","A",4,100,100,"","",3,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","4c94b3e1-8202-4cf1-8064-3f49c805cc7d","7/8/2024 3:31:07 PM","shuej21","7/8/2024 3:30:14 PM",""
435,107,10454,1,"cagl",4.6,17.4,1.3,261,"LI","DV","","A","",NA,NA,NA,"",-78.147655,38.89185684,"LI","A",3,100,97,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","d13e07be-da4b-41fb-a41d-37763a1dfea0","7/8/2024 3:47:20 PM","shuej21","7/8/2024 3:47:11 PM",""
436,108,10462,1,"caca",11.1,12.9,1.3,144,"LI","SV","","A","",NA,NA,NA,"No obvious fads",-78.14757867,38.89199594,"LI","A",2,55,45,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","2461fafb-df59-48f4-81f9-4ab3659a1d59","7/8/2024 3:15:27 PM","shuej21","7/8/2024 3:15:10 PM",""
437,108,10463,1,"acru",10.6,13.8,1.3,157,"LI","","","A","",NA,NA,NA,"",-78.14758435,38.89200408,"LI","A",2,100,90,"","",2,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","31bad6a0-cfe3-491e-8683-ed04a2601d80","7/8/2024 3:18:09 PM","shuej21","7/8/2024 3:16:11 PM",""
438,108,10464,1,"cato",11.7,17.4,1.3,480,"LI","","","A","",NA,NA,NA,"",-78.14757134,38.89203641,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","669a6883-6d1e-4dc2-b52f-4693ca2d8f04","7/8/2024 3:12:05 PM","shuej21","7/8/2024 3:12:01 PM",""
439,108,10465,1,"cato",11.4,18.2,1.3,144,"LI","","","A","",NA,NA,NA,"",-78.14757472,38.89204364,"LI","A",2,95,85,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","07228c23-c346-4d78-ae3b-c4901469e89b","7/8/2024 3:10:05 PM","shuej21","7/8/2024 3:10:01 PM",""
440,108,10466,1,"caca",12.2,18.2,1.3,105,"LI","B","","AU","W,R,B",1,1,NA,"",-78.1475655,38.89204358,"LI","AU",2,60,55,"B","R,W,B",NA,1,1,NA,NA,NA,NA,NA,NA,"","Break 30% up; ES","finished","Other","367d96d7-401c-4117-ac47-f12390fa43bd","7/8/2024 3:08:52 PM","shuej21","7/8/2024 3:07:03 PM",""
441,108,10467,1,"cato",12.5,19.9,1.3,236,"LI","","","A","",NA,NA,NA,"",-78.14756189,38.89205886,"LI","A",3,95,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","bc85e4b6-8f9d-40fd-9195-057b81ec0669","7/8/2024 3:05:21 PM","shuej21","7/8/2024 3:05:09 PM",""
442,109,10469,1,"litu",9.7,1,1.3,931,"LI","","","A","",NA,NA,NA,"",-78.14759405,38.89206897,"LI","A",4,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","4f8304a5-38d3-43af-9551-bf3725804f70","7/8/2024 2:45:46 PM","shuej21","7/8/2024 2:45:35 PM",""
443,109,10470,1,"caca",7.7,3.4,1.3,177,"LI","I","","AU","HS,W,R",2,2,NA,"",-78.14761687,38.89209073,"LI","AU",3,85,70,"W","W",2,2,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","0f8dbda5-5d89-4c8c-9c2c-c8efcdb9f51a","7/8/2024 2:39:17 PM","shuej21","7/8/2024 2:39:12 PM",""
444,109,10473,1,"prse",13.8,2.2,1.3,385,"LI","DV","","AU","K",NA,NA,1,"",-78.14754669,38.89207948,"LI","AU",3,90,85,"K","K",NA,NA,NA,1,NA,NA,NA,NA,NA,"","ES","finished","Other","8ceb6202-a756-43cb-96e1-5014fc259e0d","7/8/2024 3:01:40 PM","shuej21","7/8/2024 3:01:19 PM",""
445,109,10474,1,"caca",13.9,2.9,1.3,125,"LI","","","A","",NA,NA,NA,"",-78.14754548,38.89208578,"LI","A",2,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","7dd0b974-1eb8-44dc-9bce-79f084f54e84","7/8/2024 2:59:25 PM","shuej21","7/8/2024 2:59:15 PM",""
446,109,10475,1,"qual",17.4,4.6,1.3,138,"LI","SV,C","","A","",NA,NA,NA,"No obvious fad, main stem is dead above but other stems in crown are large and alive",-78.14750499,38.89210083,"LI","AU",3,50,40,"B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Broken 70% up; ES","finished","Other","5e7806f4-c582-463e-a831-13e08dd54e4f","7/8/2024 3:04:13 PM","shuej21","7/8/2024 3:04:10 PM",""
447,109,10479,1,"caca",17.1,9.8,1.3,124,"LI","","","AU","W",2,NA,NA,"",-78.14750796,38.89214768,"LI","AU",2,90,85,"W","W",NA,1,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","c0955d61-6469-4022-8727-111e8482bb5f","7/10/2024 8:18:51 PM","shuej21","7/8/2024 2:48:06 PM",""
448,109,10480,1,"caco",12,7.4,1.3,186,"LI","","","A","",NA,NA,NA,"Thereâ€™s a large tree leaning on it but not crushing it",-78.14756695,38.89212643,"LI","A",1,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","f8f019a6-fd49-4b43-806f-2797158c6788","7/8/2024 2:55:34 PM","shuej21","7/8/2024 2:55:24 PM",""
449,109,10481,1,"litu",12,8.3,1.3,797,"LI","","Large healed wound","AU","W",2,NA,NA,"",-78.14756687,38.89213454,"LI","AU",4,80,70,"W","W",NA,2,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","4d30e22e-3b3d-4f6c-bbaa-882247227c77","7/8/2024 2:56:04 PM","shuej21","7/8/2024 2:53:05 PM",""
450,109,10483,1,"qual",12.7,9.1,1.3,162,"LI","","","A","",NA,NA,NA,"Thereâ€™s a large tree leaning on it but not crushing it",-78.14755873,38.89214169,"LI","A",1,100,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","2b81b8b1-833c-47a6-8e3f-3f6ed2b492f5","7/8/2024 2:52:00 PM","shuej21","7/8/2024 2:51:17 PM",""
451,109,10484,1,"acru",18.8,12.2,1.3,280,"LI","","","A","",NA,NA,NA,"",-78.14748816,38.89216916,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","ce3d8af2-8308-4d1e-bdc0-53a9ded7a9e2","7/8/2024 2:45:46 PM","shuej21","7/8/2024 2:45:17 PM",""
452,109,10485,1,"caca",17.6,12.5,1.3,142,"LI","P,DV","","AU","UP,W",2,NA,NA,"",-78.14750195,38.89217195,"LI","AU",2,80,70,"W","UP,R,W",NA,2,2,NA,90,358,NA,NA,NA,"","ES","finished","Other","40359ff5-6ae7-436b-84f4-6a5ae9e4380c","7/8/2024 2:42:40 PM","shuej21","7/8/2024 2:42:15 PM",""
453,110,10487,1,"caca",1.9,3.7,1.3,126,"LI","DV","","AU","B",NA,NA,NA,"",-78.14768181,38.89227394,"LI","AU",1,65,65,"W","W",NA,2,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","62efa5f4-11c9-43d1-b192-fcc34e989dfe","7/8/2024 2:12:54 PM","shuej21","7/8/2024 2:12:05 PM",""
454,110,10488,1,"acru",3.2,5.2,1.3,361,"LI","","","AU","K,F",NA,NA,1,"",-78.14766669,38.89228735,"LI","A",3,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","ef5ff2c4-72f6-4bbe-aee9-ffc028d385ee","7/8/2024 2:17:28 PM","shuej21","7/8/2024 2:07:05 PM",""
455,110,10489,1,"caca",11.5,3.8,1.3,117,"LI","B","","AU","B",NA,NA,NA,"",-78.14757119,38.89227414,"LI","AU",2,60,55,"B","B",1,NA,NA,NA,NA,NA,NA,NA,NA,"","Break occurs 50% up the tree; ES","finished","Other","6b99dd2a-ce2a-4934-9f40-6084b7bde81f","7/8/2024 2:34:39 PM","shuej21","7/8/2024 2:33:05 PM",""
456,110,10492,1,"caca",14.4,4.8,1.3,200,"LI","B","","AU","B,HS,R",NA,1,NA,"",-78.14753768,38.89228294,"LI","AU",3,40,35,"B","R,B",3,NA,2,NA,18,136,NA,NA,NA,"","Break occurs 40% up the tree; ES","finished","Other","0ec56b57-67dc-4d6f-a45d-3fc811c879b7","7/8/2024 2:30:48 PM","shuej21","7/8/2024 2:29:08 PM",""
457,110,10495,1,"caovl",16.4,10.6,1.3,171,"LI","","","A","",NA,NA,NA,"",-78.1475141,38.89233502,"LI","A",3,95,90,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","380b350e-9391-47ae-8ce3-a82eebc6c0f0","7/8/2024 2:11:51 PM","shuej21","7/8/2024 2:11:26 PM",""
458,110,10498,1,"caca",11.8,11.8,1.3,147,"LI","SV","","A","",NA,NA,NA,"",-78.14756699,38.89234616,"LI","A",2,95,85,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,"","ES","finished","Other","56ece93f-9821-4dfd-9fef-bdeb7d771375","7/8/2024 2:24:17 PM","shuej21","7/8/2024 2:24:11 PM",""
459,107,10517,1,"quve",4.5,0.6,1.3,229,"LI","","","AU","W,R",3,3,NA,"",-78.14767274,38.89170475,"LI","AU",3,50,40,"F","W,F",NA,2,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","7f5d39b5-9ca9-4f29-a5ea-88b5aef9c4c5","7/8/2024 4:08:41 PM","shuej21","7/8/2024 4:08:27 PM",""
460,107,10518,1,"caco",3.4,0.5,1.3,480,"LI","","","A","",NA,NA,NA,"",-78.1476704,38.89170475,"LI","A",4,100,100,"","",2,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","d99496a5-3df1-4081-9964-de3732f131a5","7/8/2024 4:11:32 PM","shuej21","7/8/2024 4:11:16 PM",""
461,108,10530,1,"quve",4,2.1,1.3,499,"LI","","Upper dbh line is correct","A","",NA,NA,NA,"",-78.14766148,38.8918992,"LI","AU",4,85,65,"K","K",NA,NA,NA,2,NA,NA,NA,NA,NA,"","","finished","RH","c596a729-3dce-4a87-9bda-618aeb37e99f","7/8/2024 3:27:15 PM","shuej21","7/8/2024 3:26:18 PM",""
462,108,10531,1,"caca",4.3,4.3,NA,105,"LI","","","","",NA,NA,NA,"",-78.14765782,38.89191899,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","7eac47f6-2414-4aae-ba18-76ea93a09db3","7/8/2024 3:39:12 PM","shuej21","7/8/2024 3:39:08 PM",""
463,108,10535,1,"caca",5.6,5.3,1.3,191,"LI","","","AU","K",NA,NA,2,"",-78.14764275,38.8919279,"LI","AU",3,100,95,"K","K",4,NA,NA,1,NA,NA,NA,NA,NA,"","","finished","RH","aad39d3f-e609-404e-b1e1-7bcd868bb1e2","7/8/2024 3:43:19 PM","shuej21","7/8/2024 3:33:02 PM",""
464,108,10536,1,"cato",4.6,7.3,1.3,334,"LI","","","A","",NA,NA,NA,"",-78.14765408,38.89194598,"LI","A",4,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","c59e8fca-0535-4a0a-b535-169fa5f3302c","7/8/2024 3:17:13 PM","shuej21","7/8/2024 3:17:01 PM",""
465,108,10537,1,"caca",4.6,8.2,1.3,201,"LI","","","AU","K",NA,NA,3,"",-78.147654,38.89195409,"LI","AU",2,100,85,"W","K,W",NA,1,NA,1,NA,NA,NA,NA,NA,"","","finished","RH","ab2af803-4f4f-436f-9e09-8ea1572ef4a2","7/8/2024 3:37:27 PM","shuej21","7/8/2024 3:15:24 PM",""
466,108,10540,1,"cagl",5.2,11.8,1.3,147,"LI","","","A","",NA,NA,NA,"",-78.14764675,38.89198646,"LI","A",3,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","8125032d-eedf-4ac3-b5e5-3e2b47170d5d","7/8/2024 3:08:37 PM","shuej21","7/8/2024 3:08:34 PM",""
467,108,10543,1,"quru",7.9,15.4,1.3,364,"LI","DV","","A","",NA,NA,NA,"",-78.14761531,38.89201868,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","97a81e71-ce95-4501-bc70-77ddfef61e01","7/8/2024 3:09:51 PM","shuej21","7/8/2024 3:09:29 PM",""
468,108,10545,1,"caca",3.7,17,1.3,137,"LI","","","A","",NA,NA,NA,"",-78.14766355,38.89203339,"LI","AU",1,95,95,"K","K",NA,NA,NA,1,NA,NA,NA,NA,NA,"","","finished","RH","d35b8b05-2a65-425d-80f3-3f5227d9fe1a","7/8/2024 2:54:28 PM","shuej21","7/8/2024 2:53:36 PM",""
469,108,10546,1,"nysy",2.5,18.2,1.3,269,"LI","","","A","",NA,NA,NA,"",-78.14767726,38.89204428,"LI","A",3,90,85,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","f5529d92-1c5a-4bbd-bc39-94ea059cbabf","7/8/2024 2:59:28 PM","shuej21","7/8/2024 2:58:16 PM",""
470,108,10548,1,"caovl",2.5,16.2,1.3,140,"LI","","","A","",NA,NA,NA,"",-78.14767745,38.89202628,"LI","A",3,100,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","9089f490-c80a-4025-909f-da9f6c205362","7/8/2024 3:04:44 PM","shuej21","7/8/2024 3:04:01 PM",""
471,109,10551,1,"nysy",1.6,7.7,1.2,235,"LI","A,DV","","A","",NA,NA,NA,"",-78.14768675,38.89212989,"LI","A",3,80,80,"","",3,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","d96d05b1-b985-4b96-8dda-2b74d2c04037","7/8/2024 2:34:22 PM","shuej21","7/8/2024 2:34:12 PM",""
472,109,10553,1,"nysy",6.2,12.6,1.3,291,"LI","","","AU","LF",NA,NA,NA,"Hard to get leaf picture; all covered in brown spots",-78.14763329,38.89217368,"LI","A",3,100,97,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No leaf damage","finished","RH","6d7b874c-ab51-463b-94a8-3cbf02798375","7/8/2024 2:27:48 PM","shuej21","7/8/2024 2:27:33 PM",""
473,109,10556,1,"litu",2.5,19.1,1.3,844,"LI","","","AU","K",NA,NA,1,"",-78.14767532,38.89223248,"LI","A",4,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","af9d0bda-b656-4d45-b44e-96b3e32172d2","7/8/2024 2:21:28 PM","shuej21","7/8/2024 2:21:16 PM",""
474,110,10561,1,"caovl",4.5,16,1.3,510,"LI","","","A","",NA,NA,NA,"",-78.14765071,38.89238451,"LI","A",3,100,100,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","4e948fcc-a0b5-4fac-aa3c-e938b852e66b","7/8/2024 2:02:39 PM","shuej21","7/8/2024 2:02:29 PM",""
475,110,10568,1,"caca",12.6,18.2,1.3,135,"LI","L","","AU","B,F",NA,NA,NA,"",-78.14755717,38.89240373,"LI","AU",2,40,35,"CL","",4,NA,NA,NA,48,335,NA,NA,NA,"","ES","finished","Other","49a1cc6a-2659-44fe-8139-8924e37c5124","7/8/2024 2:18:43 PM","shuej21","7/8/2024 2:08:31 PM",""
