"Species","survey_year","dbh_class","mortality_rate","LCI_95","UCI_95","mean_dbh","N0","n_died","mean_timeint_yr"
"caovl","2017","(152,231]",2.28,0,5.77,189.92,85,2,1.03
"caovl","2018","(152,231]",0,0,0,189.55,83,0,0.92
"caovl","2019","(152,231]",0,0,0,188.78,88,0,1.07
"caovl","2020","(152,231]",0,0,0,188.78,88,0,1.03
"caovl","2021","(152,231]",0,0,0,188.78,88,0,0.91
"caovl","2022","(152,231]",1.06,0,3.6,188.78,88,1,1.07
"caovl","2013","(231,351]",0,0,0,280.57,80,0,4.73
"caovl","2014","(231,351]",0.98,0,3.31,280.09,81,1,1.26
"caovl","2015","(231,351]",0,0,0,279.79,80,0,0.79
"caovl","2016","(231,351]",0,0,0,279.79,80,0,1
"caovl","2017","(231,351]",0,0,0,279.79,80,0,1.03
"caovl","2018","(231,351]",1.34,0,4.3,279.79,80,1,0.93
"caovl","2019","(231,351]",0,0,0,281.22,81,0,1.07
"caovl","2020","(231,351]",3.6,0,8.56,281.22,81,3,1.03
"caovl","2021","(231,351]",0,0,0,281.74,78,0,0.92
"caovl","2022","(231,351]",2.43,0,5.83,281.81,77,2,1.07
"caovl","2013","(351,534]",0,0,0,433.67,36,0,4.72
"caovl","2014","(351,534]",0,0,0,433.67,36,0,1.27
"caovl","2015","(351,534]",0,0,0,433.67,36,0,0.79
"caovl","2016","(351,534]",0,0,0,433.67,36,0,1
"caovl","2017","(351,534]",0,0,0,433.67,36,0,1.04
"caovl","2018","(351,534]",0,0,0,433.67,36,0,0.92
"caovl","2019","(351,534]",2.59,0,8.94,434.25,36,1,1.07
"caovl","2020","(351,534]",0,0,0,431.97,35,0,1.02
"caovl","2021","(351,534]",3.04,0,10.34,431.97,35,1,0.94
"caovl","2022","(351,534]",2.78,0,10.29,430.47,34,1,1.06
"caovl","2013","(534,811]",0,0,0,603.17,6,0,4.65
"caovl","2014","(534,811]",0,0,0,603.17,6,0,1.25
"caovl","2015","(534,811]",0,0,0,603.17,6,0,0.78
"caovl","2016","(534,811]",0,0,0,603.17,6,0,1.01
"caovl","2017","(534,811]",0,0,0,603.17,6,0,1.02
"caovl","2018","(534,811]",0,0,0,603.17,6,0,0.92
"caovl","2019","(534,811]",0,0,0,599.75,8,0,1.06
"caovl","2020","(534,811]",0,0,0,599.75,8,0,1.03
"caovl","2021","(534,811]",0,0,0,599.75,8,0,0.93
"caovl","2022","(534,811]",0,0,0,599.75,8,0,1.06
"cato","2013","[100,152]",0,0,0,123.84,231,0,4.73
"cato","2014","[100,152]",0,0,0,123.84,231,0,1.27
"cato","2015","[100,152]",1.11,0,2.62,123.74,230,2,0.78
"cato","2016","[100,152]",0.87,0,2.22,123.66,228,2,1
"cato","2017","[100,152]",0.86,0,2.05,123.69,226,2,1.03
"cato","2018","[100,152]",0,0,0,123.58,224,0,0.94
"cato","2019","[100,152]",0,0,0,127.14,207,0,1.07
"cato","2020","[100,152]",0.86,0,2.21,125.14,228,2,1.02
"cato","2021","[100,152]",0.49,0,1.56,125.17,226,1,0.91
"cato","2022","[100,152]",0.42,0,1.38,125.26,223,1,1.08
"cato","2013","(152,231]",0,0,0,187.57,197,0,4.73
"cato","2014","(152,231]",1.58,0.34,3.25,187.37,200,4,1.27
"cato","2015","(152,231]",0.65,0,2.04,187.33,196,1,0.78
"cato","2016","(152,231]",2.05,0.45,4.22,187.19,195,4,1
"cato","2017","(152,231]",2.54,0.49,5.28,187.16,191,5,1.03
"cato","2018","(152,231]",0.57,0,1.9,186.85,186,1,0.94
"cato","2019","(152,231]",0,0,0,187.23,192,0,1.07
"cato","2020","(152,231]",1.02,0,2.64,187.23,192,2,1.02
"cato","2021","(152,231]",0,0,0,187.32,190,0,0.91
"cato","2022","(152,231]",1,0,2.43,187.37,187,2,1.08
"cato","2013","(231,351]",0,0,0,282.99,139,0,4.71
"cato","2014","(231,351]",0.56,0,1.75,282.99,139,1,1.28
"cato","2015","(231,351]",0.92,0,3.29,282.98,138,1,0.78
"cato","2016","(231,351]",1.46,0,3.56,283.02,137,2,1
"cato","2017","(231,351]",3.57,0.66,7.78,282.64,135,5,1.04
"cato","2018","(231,351]",0.83,0,2.79,282.61,130,1,0.93
"cato","2019","(231,351]",0.69,0,2.34,282.58,136,1,1.07
"cato","2020","(231,351]",1.46,0,3.96,282.46,135,2,1.02
"cato","2021","(231,351]",0,0,0,282.93,133,0,0.92
"cato","2022","(231,351]",1.4,0,3.58,282.58,132,2,1.08
"cato","2013","(351,534]",0,0,0,412.93,52,0,4.72
"cato","2014","(351,534]",3.04,0,7.81,412.93,52,2,1.27
"cato","2015","(351,534]",0,0,0,412.81,50,0,0.79
"cato","2016","(351,534]",2,0,6.95,412.81,50,1,1
"cato","2017","(351,534]",0,0,0,413.9,49,0,1.03
"cato","2018","(351,534]",4.29,0,11.22,413.9,49,2,0.95
"cato","2019","(351,534]",0,0,0,419.67,51,0,1.05
"cato","2020","(351,534]",1.94,0,5.68,419.67,51,1,1.01
"cato","2021","(351,534]",0,0,0,418.82,50,0,0.92
"cato","2022","(351,534]",1.86,0,6.19,418.82,50,1,1.08
"cato","2013","(534,811]",0,0,0,595.68,6,0,4.71
"cato","2014","(534,811]",0,0,0,595.68,6,0,1.31
"cato","2015","(534,811]",0,0,0,595.68,6,0,0.79
"cato","2016","(534,811]",0,0,0,595.68,6,0,1
"cato","2017","(534,811]",0,0,0,595.68,6,0,1.03
"cato","2018","(534,811]",0,0,0,595.68,6,0,0.9
"cato","2019","(534,811]",0,0,0,612.33,6,0,1.06
"cato","2020","(534,811]",0,0,0,612.33,6,0,1.04
"cato","2021","(534,811]",0,0,0,612.33,6,0,0.92
"cato","2022","(534,811]",0,0,0,612.33,6,0,1.13
"ceca","2013","[100,152]",0.61,0,1.43,119.24,105,3,4.73
"ceca","2014","[100,152]",6.37,2.73,11.07,119.55,108,8,1.17
"ceca","2015","[100,152]",4.96,1.08,10.42,120.41,100,4,0.8
"ceca","2016","[100,152]",7.39,3.12,12.39,120.39,96,7,0.99
"ceca","2017","[100,152]",7.64,2.01,15.25,120.81,90,7,1.02
"ceca","2018","[100,152]",3.77,0,8.29,120.73,83,3,0.96
"ceca","2019","[100,152]",3.03,0,8.16,124.95,64,2,1.03
"ceca","2020","[100,152]",11.2,5.02,18.65,120.71,86,10,1.04
"ceca","2021","[100,152]",10.24,3.1,19.5,121.36,75,7,0.91
"ceca","2022","[100,152]",15.26,7.89,24.05,122.07,69,11,1.05
"ceca","2013","(152,231]",0,0,0,178.76,16,0,4.64
"ceca","2014","(152,231]",0,0,0,178.76,16,0,1.26
"ceca","2015","(152,231]",0,0,0,178.76,16,0,0.81
"ceca","2016","(152,231]",0,0,0,178.76,16,0,0.99
"ceca","2017","(152,231]",0,0,0,178.76,16,0,1.01
"ceca","2018","(152,231]",6.54,0,23.42,178.76,16,1,0.95
"ceca","2019","(152,231]",0,0,0,171.7,27,0,1.03
"ceca","2020","(152,231]",10.83,0,21.25,171.7,27,3,1.03
"ceca","2021","(152,231]",8.89,0,26.5,171.08,24,2,0.93
"ceca","2022","(152,231]",8.97,0,17.54,172.52,21,2,1.07
"ceca","2019","(231,351]",0,0,0,255,1,0,0.97
"ceca","2020","(231,351]",0,0,0,255,1,0,1.02
"ceca","2021","(231,351]",0,0,0,255,1,0,0.92
"ceca","2022","(231,351]",0,0,0,255,1,0,1.18
"ceoc","2013","[100,152]",0,0,0,119.16,26,0,4.64
"ceoc","2014","[100,152]",12.44,0,27.11,119.16,26,4,1.26
"ceoc","2015","[100,152]",11.21,0,26.96,119.26,22,2,0.8
"ceoc","2016","[100,152]",0,0,0,120.08,20,0,1
"ceoc","2017","[100,152]",0,0,0,120.08,20,0,1.02
"ceoc","2018","[100,152]",0,0,0,120.08,20,0,0.93
"ceoc","2019","[100,152]",0,0,0,122.26,19,0,1.03
"ceoc","2020","[100,152]",3.67,0,13.13,117.5,26,1,1.05
"ceoc","2021","[100,152]",13.11,0,24.56,117.64,25,3,0.91
"ceoc","2022","[100,152]",4.16,0,15.07,118.18,22,1,1.09
"ceoc","2013","(152,231]",0,0,0,187.07,8,0,4.67
"ceoc","2014","(152,231]",0,0,0,187.07,8,0,1.19
"ceoc","2015","(152,231]",15.19,0,39.64,187.07,8,1,0.81
"ceoc","2016","(152,231]",0,0,0,191.09,7,0,0.99
"ceoc","2017","(152,231]",0,0,0,191.09,7,0,1.02
"ceoc","2018","(152,231]",0,0,0,191.09,7,0,0.93
"ceoc","2019","(152,231]",0,0,0,185.83,6,0,1.01
"ceoc","2020","(152,231]",15.88,0,49.69,185.83,6,1,1.05
"ceoc","2021","(152,231]",0,0,0,192.6,5,0,0.95
"ceoc","2022","(152,231]",0,0,0,191.5,4,0,1.03
"ceoc","2013","(231,351]",0,0,0,248.36,5,0,4.52
"ceoc","2014","(231,351]",0,0,0,248.36,5,0,1.4
"ceoc","2015","(231,351]",0,0,0,248.36,5,0,0.81
"ceoc","2016","(231,351]",0,0,0,248.36,5,0,1
"ceoc","2017","(231,351]",0,0,0,248.36,5,0,1.02
"ceoc","2018","(231,351]",0,0,0,248.36,5,0,0.97
"ceoc","2019","(231,351]",0,0,0,262,7,0,1
"ceoc","2020","(231,351]",0,0,0,262,7,0,1.04
"ceoc","2021","(231,351]",0,0,0,262,7,0,0.89
"ceoc","2022","(231,351]",0,0,0,262,7,0,1.08
"ceoc","2013","(351,534]",0,0,0,445,1,0,4.41
"ceoc","2014","(351,534]",0,0,0,445,1,0,1.42
"ceoc","2015","(351,534]",0,0,0,445,1,0,0.88
"ceoc","2016","(351,534]",0,0,0,445,1,0,1.02
"ceoc","2017","(351,534]",0,0,0,445,1,0,1.01
"ceoc","2018","(351,534]",0,0,0,445,1,0,0.96
"ceoc","2019","(351,534]",0,0,0,476,1,0,0.97
"ceoc","2020","(351,534]",0,0,0,476,1,0,1.02
"ceoc","2021","(351,534]",0,0,0,476,1,0,0.92
"ceoc","2022","(351,534]",0,0,0,476,1,0,0.99
"coal","2013","[100,152]",0,0,0,134.5,1,0,4.72
"coal","2014","[100,152]",0,0,0,134.5,1,0,1.16
"coal","2015","[100,152]",0,0,0,134.5,1,0,0.8
"coal","2016","[100,152]",0,0,0,134.5,1,0,0.99
"coal","2017","[100,152]",0,0,0,134.5,1,0,1
"coal","2018","[100,152]",0,0,0,134.5,1,0,0.96
"coal","2019","[100,152]",0,0,0,139,1,0,1.07
"coal","2020","[100,152]",0,0,0,139,1,0,0.99
"coal","2021","[100,152]",100,100,100,139,1,1,0.92
"cofl","2013","[100,152]",0,0,0,118.34,16,0,4.63
"cofl","2014","[100,152]",0,0,0,117.52,17,0,1.27
"cofl","2015","[100,152]",14.44,0,37.34,117.52,17,2,0.8
"cofl","2016","[100,152]",0,0,0,117.97,14,0,0.98
"cofl","2017","[100,152]",6.74,0,20.02,118.75,15,1,0.99
"cofl","2018","[100,152]",0,0,0,117.38,14,0,0.96
"cofl","2019","[100,152]",0,0,0,116.71,14,0,1.01
"cofl","2020","[100,152]",0,0,0,115.19,16,0,1.05
"cofl","2021","[100,152]",13.13,0,36.02,115.19,16,2,0.95
"cofl","2022","[100,152]",0,0,0,117.15,13,0,1.09
"cofl","2013","(152,231]",0,0,0,168.2,1,0,4.59
"cofl","2014","(152,231]",0,0,0,168.2,1,0,1.29
"cofl","2015","(152,231]",0,0,0,168.2,1,0,0.75
"cofl","2016","(152,231]",0,0,0,168.2,1,0,1.02
"cofl","2017","(152,231]",0,0,0,168.2,1,0,1
"cofl","2018","(152,231]",0,0,0,168.2,1,0,1.03
"cofl","2019","(152,231]",0,0,0,169,1,0,0.98
"cofl","2020","(152,231]",0,0,0,169,1,0,1.12
"cofl","2021","(152,231]",100,100,100,169,1,1,0.86
"divi","2013","(231,351]",0,0,0,249.9,1,0,4.62
"divi","2014","(231,351]",0,0,0,249.9,1,0,1.29
"divi","2015","(231,351]",0,0,0,249.9,1,0,0.79
"divi","2016","(231,351]",0,0,0,249.9,1,0,0.99
"divi","2017","(231,351]",0,0,0,249.9,1,0,1
"divi","2018","(231,351]",0,0,0,249.9,1,0,0.97
"divi","2019","(231,351]",0,0,0,258,1,0,0.98
"divi","2020","(231,351]",0,0,0,258,1,0,1.02
"divi","2021","(231,351]",0,0,0,258,1,0,0.96
"divi","2022","(231,351]",0,0,0,258,1,0,1.2
"fagr","2013","[100,152]",0,0,0,125.14,142,0,4.63
"fagr","2014","[100,152]",0,0,0,125.14,142,0,1.31
"fagr","2015","[100,152]",0,0,0,125.14,142,0,0.79
"fagr","2016","[100,152]",0,0,0,125.14,142,0,1
"fagr","2017","[100,152]",0,0,0,125.14,142,0,1.02
"fagr","2018","[100,152]",0,0,0,125.14,142,0,0.96
"fagr","2019","[100,152]",0,0,0,131.53,96,0,1.03
"fagr","2020","[100,152]",0,0,0,125.13,135,0,1.01
"fagr","2021","[100,152]",0.78,0,2.97,125.13,135,1,0.95
"fagr","2022","[100,152]",0,0,0,125.13,134,0,1.1
"fagr","2013","(152,231]",0,0,0,183.23,123,0,4.64
"fagr","2014","(152,231]",0,0,0,183.23,123,0,1.28
"fagr","2015","(152,231]",0,0,0,183.23,123,0,0.79
"fagr","2016","(152,231]",0,0,0,183.23,123,0,1
"fagr","2017","(152,231]",0,0,0,183.23,123,0,1.03
"fagr","2018","(152,231]",0,0,0,183.23,123,0,0.95
"fagr","2019","(152,231]",0,0,0,184.41,145,0,1.02
"fagr","2020","(152,231]",0.67,0,2.38,184.34,146,1,1.02
"fagr","2021","(152,231]",0,0,0,184.53,145,0,0.95
"fagr","2022","(152,231]",0.64,0,2.14,184.74,144,1,1.08
"fagr","2013","(231,351]",0,0,0,265.7,28,0,4.63
"fagr","2014","(231,351]",0,0,0,265.7,28,0,1.3
"fagr","2015","(231,351]",0,0,0,265.7,28,0,0.78
"fagr","2016","(231,351]",0,0,0,265.7,28,0,1
"fagr","2017","(231,351]",0,0,0,265.7,28,0,1.03
"fagr","2018","(231,351]",0,0,0,265.7,28,0,0.96
"fagr","2019","(231,351]",0,0,0,270.28,50,0,1.03
"fagr","2020","(231,351]",0,0,0,270.28,50,0,1
"fagr","2021","(231,351]",0,0,0,270.28,50,0,0.95
"fagr","2022","(231,351]",0,0,0,270.28,50,0,1.1
"fagr","2013","(351,534]",0,0,0,413.81,9,0,4.64
"fagr","2014","(351,534]",0,0,0,413.81,9,0,1.34
"fagr","2015","(351,534]",0,0,0,413.81,9,0,0.76
"fagr","2016","(351,534]",0,0,0,413.81,9,0,1.01
"fagr","2017","(351,534]",0,0,0,413.81,9,0,1.04
"fagr","2018","(351,534]",11.74,0,53.82,413.81,9,1,0.94
"fagr","2019","(351,534]",0,0,0,433.22,9,0,1.04
"fagr","2020","(351,534]",0,0,0,433.22,9,0,1
"fagr","2021","(351,534]",0,0,0,433.22,9,0,0.94
"fagr","2022","(351,534]",0,0,0,433.22,9,0,1.11
"fagr","2013","(534,811]",0,0,0,619.72,5,0,4.5
"fagr","2014","(534,811]",0,0,0,619.72,5,0,1.42
"fagr","2015","(534,811]",24.93,0,59.64,619.72,5,1,0.78
"fagr","2016","(534,811]",0,0,0,614.32,4,0,1
"fagr","2017","(534,811]",0,0,0,614.32,4,0,1.03
"fagr","2018","(534,811]",0,0,0,614.32,4,0,0.96
"fagr","2019","(534,811]",0,0,0,628,4,0,1.02
"fagr","2020","(534,811]",0,0,0,628,4,0,1.03
"fagr","2021","(534,811]",0,0,0,628,4,0,0.87
"fagr","2022","(534,811]",0,0,0,628,4,0,1.16
"fagr","2013","(811,1.23e+03]",0,0,0,1046.8,1,0,4.5
"fagr","2014","(811,1.23e+03]",0,0,0,1046.8,1,0,1.43
"fagr","2015","(811,1.23e+03]",0,0,0,1046.8,1,0,0.77
"fagr","2016","(811,1.23e+03]",0,0,0,1046.8,1,0,0.99
"fagr","2017","(811,1.23e+03]",0,0,0,1046.8,1,0,1.05
"fagr","2018","(811,1.23e+03]",0,0,0,1046.8,1,0,0.96
"fagr","2019","(811,1.23e+03]",0,0,0,1072,1,0,0.96
"fagr","2020","(811,1.23e+03]",0,0,0,1072,1,0,0.96
"fagr","2021","(811,1.23e+03]",0,0,0,1072,1,0,0.99
"fagr","2022","(811,1.23e+03]",0,0,0,1072,1,0,1.13
"fram","2013","[100,152]",0,0,0,123.84,123,0,4.68
"fram","2014","[100,152]",3.98,1.31,7.4,123.84,123,6,1.23
"fram","2015","[100,152]",1.07,0,3.57,123.63,117,1,0.8
"fram","2016","[100,152]",0.87,0,2.69,123.57,116,1,0.99
"fram","2017","[100,152]",5.97,1.89,10.85,123.85,117,7,1
"fram","2018","[100,152]",8.73,2.34,16.59,123.57,109,9,0.94
"fram","2019","[100,152]",3.16,0,6.7,125.28,92,3,1.03
"fram","2020","[100,152]",8.99,3.49,15.62,125.65,85,8,1.05
"fram","2021","[100,152]",35.23,20.98,48.26,125.27,77,26,0.95
"fram","2022","[100,152]",32.2,19.44,46.17,125.88,51,17,1.04
"fram","2013","(152,231]",0,0,0,186.07,82,0,4.67
"fram","2014","(152,231]",1.98,0,4.87,186.07,82,2,1.24
"fram","2015","(152,231]",6.19,1.43,12.16,185.45,80,4,0.8
"fram","2016","(152,231]",2.66,0,6.93,184.99,76,2,0.99
"fram","2017","(152,231]",6.92,1.65,12.38,184.97,72,5,1
"fram","2018","(152,231]",6.2,1.49,11.28,185.24,67,4,0.96
"fram","2019","(152,231]",0,0,0,185.46,68,0,1.02
"fram","2020","(152,231]",17.18,7.77,26.38,185.06,67,12,1.05
"fram","2021","(152,231]",38.08,27.89,47.64,186.48,54,20,0.96
"fram","2022","(152,231]",22.43,7.96,36.16,184.41,34,8,1.06
"fram","2013","(231,351]",0,0,0,280.2,73,0,4.67
"fram","2014","(231,351]",3.27,0,7.59,280.48,74,3,1.24
"fram","2015","(231,351]",1.77,0,5.51,280.84,71,1,0.8
"fram","2016","(231,351]",1.44,0,4.37,281.51,70,1,0.99
"fram","2017","(231,351]",11.44,1.91,19.92,280.66,69,8,1.01
"fram","2018","(231,351]",15.84,6.09,25.52,279.72,60,9,0.94
"fram","2019","(231,351]",3.41,0,8.19,285.39,57,2,1.03
"fram","2020","(231,351]",26.4,15.81,36.23,285.94,54,15,1.06
"fram","2021","(231,351]",48.04,30.99,65.98,284.24,38,17,0.91
"fram","2022","(231,351]",34.11,15.62,54.06,281.77,22,8,1.08
"fram","2013","(351,534]",0,0,0,436.43,78,0,4.68
"fram","2014","(351,534]",1.03,0,3.54,436.71,80,1,1.22
"fram","2015","(351,534]",0,0,0,436.64,79,0,0.8
"fram","2016","(351,534]",1.27,0,4.77,436.64,79,1,0.99
"fram","2017","(351,534]",6.32,1.56,12.85,437.29,77,5,1.03
"fram","2018","(351,534]",17.43,7.95,28.39,434.97,72,12,0.95
"fram","2019","(351,534]",5.35,0,11.69,439.89,55,3,1.02
"fram","2020","(351,534]",41.54,29.03,53.95,439.82,51,22,1.05
"fram","2021","(351,534]",57.99,38.07,74.59,437.24,29,16,0.93
"fram","2022","(351,534]",77.63,52.52,100,442.07,14,11,1.03
"fram","2013","(534,811]",0,0,0,646.08,46,0,4.66
"fram","2014","(534,811]",1.7,0,4.85,647.06,47,1,1.25
"fram","2015","(534,811]",0,0,0,647.32,46,0,0.8
"fram","2016","(534,811]",2.19,0,7.55,647.32,46,1,0.99
"fram","2017","(534,811]",19.24,10.91,28.29,648.65,46,9,1.02
"fram","2018","(534,811]",11.18,2.56,22.62,655.29,37,4,0.97
"fram","2019","(534,811]",2.82,0,9.16,655.26,35,1,1.01
"fram","2020","(534,811]",44.1,30.63,61.87,655.32,31,14,1.03
"fram","2021","(534,811]",67.4,46.16,88.04,666.71,17,11,0.93
"fram","2022","(534,811]",16.19,0,38.03,641.5,6,1,1.03
"fram","2013","(811,1.23e+03]",0,0,0,925.53,15,0,4.66
"fram","2014","(811,1.23e+03]",5.43,0,19.39,925.53,15,1,1.24
"fram","2015","(811,1.23e+03]",0,0,0,927.79,14,0,0.79
"fram","2016","(811,1.23e+03]",0,0,0,927.79,14,0,0.99
"fram","2017","(811,1.23e+03]",13.02,0,35.69,925.53,15,2,1.03
"fram","2018","(811,1.23e+03]",15.76,0,42.4,923.36,13,2,0.97
"fram","2019","(811,1.23e+03]",9.11,0,32.93,943.91,11,1,1
"fram","2020","(811,1.23e+03]",69.56,42.5,100,952.9,10,7,1.01
"fram","2021","(811,1.23e+03]",100,100,100,956.67,3,3,0.91
"fram","2022","(811,1.23e+03]",100,100,100,908,1,1,1.12
"frni","2013","[100,152]",0,0,0,129.78,16,0,4.55
"frni","2014","[100,152]",0,0,0,129.24,17,0,1.36
"frni","2015","[100,152]",7.26,0,24.14,129.24,17,1,0.8
"frni","2016","[100,152]",6.26,0,22.54,129.44,16,1,1
"frni","2017","[100,152]",26.02,7.39,44.72,131.23,15,4,1.03
"frni","2018","[100,152]",57.17,22.41,92.75,132.56,11,6,0.93
"frni","2019","[100,152]",0,0,0,114,1,0,1.01
"frni","2020","[100,152]",0,0,0,114,1,0,1.01
"frni","2021","[100,152]",100,100,100,114,1,1,0.9
"frni","2013","(152,231]",0,0,0,177.28,14,0,4.58
"frni","2014","(152,231]",5.38,0,19.08,177.28,14,1,1.34
"frni","2015","(152,231]",9.72,0,34.42,175.06,13,1,0.78
"frni","2016","(152,231]",8.32,0,20.04,170.84,12,1,1
"frni","2017","(152,231]",35.35,0,71.49,171.65,11,4,1.04
"frni","2018","(152,231]",58.36,20.55,100,175.34,7,4,0.97
"frni","2019","(152,231]",0,0,0,175.2,5,0,1.04
"frni","2020","(152,231]",19.39,0,65.34,175.2,5,1,1.04
"frni","2021","(152,231]",100,100,100,179.5,4,4,0.93
"frni","2013","(231,351]",0,0,0,288.07,6,0,4.66
"frni","2014","(231,351]",0,0,0,288.07,6,0,1.35
"frni","2015","(231,351]",0,0,0,288.07,6,0,0.78
"frni","2016","(231,351]",0,0,0,288.07,6,0,1
"frni","2017","(231,351]",73.34,0,100,276.4,4,3,1.05
"frni","2018","(231,351]",0,0,0,254.4,1,0,0.87
"frni","2019","(231,351]",0,0,0,255,1,0,1.1
"frni","2020","(231,351]",100,100,100,255,1,1,1.06
"frni","2013","(351,534]",0,0,0,408.7,4,0,4.64
"frni","2014","(351,534]",0,0,0,408.7,4,0,1.24
"frni","2015","(351,534]",0,0,0,408.7,4,0,0.79
"frni","2016","(351,534]",25.45,0,76.83,408.7,4,1,0.98
"frni","2017","(351,534]",0,0,0,435.95,2,0,1.05
"frni","2018","(351,534]",0,0,0,435.95,2,0,0.96
"frni","2019","(351,534]",0,0,0,439,2,0,0.96
"frni","2020","(351,534]",0,0,0,439,2,0,1.03
"frni","2021","(351,534]",0,0,0,439,2,0,0.97
"frni","2022","(351,534]",0,0,0,439,2,0,1.01
"frpe","2013","[100,152]",0,0,0,121.88,8,0,4.68
"frpe","2014","[100,152]",0,0,0,121.88,8,0,1.23
"frpe","2015","[100,152]",0,0,0,121.88,8,0,0.8
"frpe","2016","[100,152]",12.58,0,42.47,121.88,8,1,0.99
"frpe","2017","[100,152]",0,0,0,123.99,7,0,1.03
"frpe","2018","[100,152]",14.81,0,51.44,123.99,7,1,0.96
"frpe","2019","[100,152]",0,0,0,129.14,7,0,1.05
"frpe","2020","[100,152]",0,0,0,129.14,7,0,1.03
"frpe","2021","[100,152]",31.91,0,79.18,129.14,7,2,0.88
"frpe","2022","[100,152]",19.53,0,100,130.2,5,1,1.03
"frpe","2013","(152,231]",0,0,0,193.45,4,0,4.73
"frpe","2014","(152,231]",0,0,0,193.45,4,0,1.25
"frpe","2015","(152,231]",0,0,0,193.45,4,0,0.79
"frpe","2016","(152,231]",0,0,0,193.45,4,0,0.99
"frpe","2017","(152,231]",0,0,0,193.45,4,0,1.04
"frpe","2018","(152,231]",0,0,0,193.45,4,0,0.98
"frpe","2019","(152,231]",0,0,0,205,4,0,1.05
"frpe","2020","(152,231]",0,0,0,205,4,0,1.02
"frpe","2021","(152,231]",0,0,0,205,4,0,0.85
"frpe","2022","(152,231]",0,0,0,205,4,0,1.03
"frpe","2013","(351,534]",0,0,0,351.3,1,0,4.83
"frpe","2014","(351,534]",0,0,0,351.3,1,0,1.15
"frpe","2015","(351,534]",0,0,0,351.3,1,0,0.82
"frpe","2016","(351,534]",0,0,0,351.3,1,0,0.99
"frpe","2017","(351,534]",0,0,0,351.3,1,0,1.01
"frpe","2018","(351,534]",0,0,0,351.3,1,0,1.03
"frpe","2019","(351,534]",0,0,0,373,1,0,1
"frpe","2020","(351,534]",0,0,0,373,1,0,1.03
"frpe","2021","(351,534]",0,0,0,373,1,0,0.85
"frpe","2022","(351,534]",0,0,0,373,1,0,1.07
"havi","2013","[100,152]",0,0,0,115.12,6,0,4.53
"havi","2014","[100,152]",0,0,0,115.12,6,0,1.4
"havi","2015","[100,152]",0,0,0,115.12,6,0,0.8
"havi","2016","[100,152]",0,0,0,115.12,6,0,1
"havi","2017","[100,152]",0,0,0,115.12,6,0,1.02
"havi","2018","[100,152]",17.26,0,42.1,115.12,6,1,0.96
"havi","2019","[100,152]",16.49,0,40.6,116,6,1,1.01
"havi","2020","[100,152]",0,0,0,111.25,12,0,1.02
"havi","2021","[100,152]",16.92,0,43.02,111.38,13,2,0.9
"havi","2022","[100,152]",0,0,0,109.3,10,0,1.12
"juci","2013","(231,351]",0,0,0,260.1,2,0,4.67
"juci","2014","(231,351]",0,0,0,260.1,2,0,1.28
"juci","2015","(231,351]",0,0,0,260.1,2,0,0.81
"juci","2016","(231,351]",0,0,0,260.1,2,0,0.98
"juci","2017","(231,351]",0,0,0,260.1,2,0,0.96
"juci","2018","(231,351]",0,0,0,260.1,2,0,0.94
"juci","2019","(231,351]",0,0,0,265,2,0,1.05
"juci","2020","(231,351]",0,0,0,265,2,0,1.03
"juci","2021","(231,351]",51.24,0,100,265,2,1,0.97
"juci","2022","(231,351]",0,0,0,248,1,0,1.18
"juni","2013","[100,152]",0,0,0,124.62,4,0,4.59
"juni","2014","[100,152]",0,0,0,124.62,4,0,1.34
"juni","2015","[100,152]",0,0,0,124.62,4,0,0.8
"juni","2016","[100,152]",0,0,0,124.62,4,0,0.98
"juni","2017","[100,152]",0,0,0,124.62,4,0,0.96
"juni","2018","[100,152]",0,0,0,124.62,4,0,0.95
"juni","2019","[100,152]",0,0,0,128.75,4,0,1.03
"juni","2020","[100,152]",19.09,0,64.99,127,5,1,1.05
"juni","2021","[100,152]",0,0,0,133,4,0,0.97
"juni","2022","[100,152]",0,0,0,133,4,0,1.08
"juni","2013","(152,231]",0,0,0,195.93,8,0,4.54
"juni","2014","(152,231]",0,0,0,195.93,8,0,1.42
"juni","2015","(152,231]",0,0,0,195.93,8,0,0.79
"juni","2016","(152,231]",0,0,0,195.93,8,0,0.99
"juni","2017","(152,231]",12.9,0,40.98,195.93,8,1,0.97
"juni","2018","(152,231]",15.06,0,54,201.31,7,1,0.94
"juni","2019","(152,231]",0,0,0,198,4,0,0.99
"juni","2020","(152,231]",0,0,0,198,4,0,1.05
"juni","2021","(152,231]",0,0,0,198,4,0,1.04
"juni","2022","(152,231]",0,0,0,198,4,0,1.1
"juni","2013","(231,351]",0,0,0,296.18,27,0,4.61
"juni","2014","(231,351]",2.92,0,10.27,296.18,27,1,1.27
"juni","2015","(231,351]",0,0,0,297.62,26,0,0.8
"juni","2016","(231,351]",0,0,0,297.62,26,0,0.98
"juni","2017","(231,351]",0,0,0,297.62,26,0,0.99
"juni","2018","(231,351]",3.97,0,12.37,297.62,26,1,0.97
"juni","2019","(231,351]",0,0,0,302,21,0,1.02
"juni","2020","(231,351]",0,0,0,302,21,0,1.04
"juni","2021","(231,351]",4.99,0,17.89,302,21,1,0.95
"juni","2022","(231,351]",4.65,0,15.51,300.8,20,1,1.08
